UPA,Data_Formatada,Nota,Texto,Texto_Limpo
UPA Barreiro,2024-12-01,1.0,"Péssimo atendimento. Alguns enfermeiros super gente boa, mas os rapazes da portaria, cada um mais grosso e estúpido com os pacientes. Não tem o mínimo de empatia com a dor do próximo. Só tumultuam e não sabem responder nada, se tá chamando, quanto tempo aproximado, quantos médicos tem, nada, ou não querem falar ou já se acostumaram com má administração do local. Pessoas deitadas nas cadeiras, pessoas filmando dentro do estabelecimento, não tinha álcool em gel para limpar as mãos, sem copos para beber Água, nao dao mascaras. E sem falar da burocracia pra entrar, ser atendido e até mesmo pra sair desistindo de ficar 3, 4 horas com pulseira amarelo, nariz sangrando por causa de dengue hemorrágica e ninguém levando nada a sério. É um total descaso. Unidade feia, com pintura ultrapassado, cadeiras quebradas, adesivos soltos, precisa de uma intervenção urgente tanto na aspecto físico em reforma como no atendimento dos pacientes. Eu acho lindo o SUS mas essa unidade não representa o bairro onde está inserido, médicos capacitados. O consultório dos médicos é um cubículo de 2x2 pra atender as pessoas, isso é um absurdo.",pessimo atendimento alguns enfermeiros super gente boa rapazes portaria cada grosso estupido pacientes nao minimo empatia dor proximo tumultuam nao sabem responder nada chamando quanto tempo aproximado quantos medicos nada nao querem falar acostumaram administracao local pessoas deitadas cadeiras pessoas filmando dentro estabelecimento nao alcool gel limpar maos copos beber agua nao dao mascaras falar burocracia pra entrar atendido ate pra sair desistindo ficar horas pulseira amarelo nariz sangrando causa dengue hemorragica ninguem levando nada serio total descaso unidade feia pintura ultrapassado cadeiras quebradas adesivos soltos precisa intervencao urgente tanto aspecto fisico reforma atendimento pacientes acho lindo sus unidade nao representa bairro onde inserido medicos capacitados consultorio medicos cubiculo pra atender pessoas absurdo
UPA Barreiro,2024-12-01,1.0,"Péssimo atendimento. Alguns enfermeiros super gente boa, mas os rapazes da portaria, cada um mais grosso e estúpido com os pacientes. Não tem o mínimo de empatia com a dor do próximo. Só tumultuam e não sabem responder nada, se tá chamando, quanto tempo aproximado, quantos médicos tem, nada, ou não querem falar ou já se acostumaram com má administração do local. Pessoas deitadas nas cadeiras, pessoas filmando dentro do estabelecimento, não tinha álcool em gel para limpar as mãos, sem copos para beber Água, nao dao mascaras. E sem falar da burocracia pra entrar, ser atendido e até mesmo pra sair desistindo de ficar 3, 4 horas com pulseira amarelo, nariz sangrando por causa de dengue hemorrágica e ninguém levando nada a sério. É um total descaso. Unidade feia, com pintura ultrapassado, cadeiras quebradas, adesivos soltos, precisa de uma intervenção urgente tanto na aspecto físico em reforma como no atendimento dos pacientes. Eu acho lindo o SUS mas essa unidade não representa o bairro onde está inserido, médicos capacitados. O consultório dos médicos é um cubículo de 2x2 pra atender as pessoas, isso é um absurdo.",pessimo atendimento alguns enfermeiros super gente boa rapazes portaria cada grosso estupido pacientes nao minimo empatia dor proximo tumultuam nao sabem responder nada chamando quanto tempo aproximado quantos medicos nada nao querem falar acostumaram administracao local pessoas deitadas cadeiras pessoas filmando dentro estabelecimento nao alcool gel limpar maos copos beber agua nao dao mascaras falar burocracia pra entrar atendido ate pra sair desistindo ficar horas pulseira amarelo nariz sangrando causa dengue hemorragica ninguem levando nada serio total descaso unidade feia pintura ultrapassado cadeiras quebradas adesivos soltos precisa intervencao urgente tanto aspecto fisico reforma atendimento pacientes acho lindo sus unidade nao representa bairro onde inserido medicos capacitados consultorio medicos cubiculo pra atender pessoas absurdo
UPA Barreiro,2025-11-01,5.0,"Muito bem atendida.
Parabéns aos profissionais.
Se esforçando sempre p atender a todos.
Demora pq é muita gente p ser atendida ,por isso que tem a triagem,temos que ter compreensão.
Até na UNIMED demora o atendimento.",bem atendida parabens profissionais esforcando sempre atender todos demora muita gente atendida triagemtemos compreensao ate unimed demora atendimento
UPA Barreiro,2025-11-01,5.0,"Muito bem atendida.
Parabéns aos profissionais.
Se esforçando sempre p atender a todos.
Demora pq é muita gente p ser atendida ,por isso que tem a triagem,temos que ter compreensão.
Até na UNIMED demora o atendimento.",bem atendida parabens profissionais esforcando sempre atender todos demora muita gente atendida triagemtemos compreensao ate unimed demora atendimento
UPA Barreiro,2025-08-03,1.0,"Horrível, esse hospital conseguiu ser pior que o de Ibirité, achei que fosse impossível. Parece hospital de guerra; paredes e chão desgastados, poucas cadeiras e desconfortáveis, ambiente pequeno e mal estruturado, mal tem equipamentos, pra atender outro cliente tem que tirar outro da cadeira de rodas/macas. PRA ONDE ESTÁ INDO OS IMPOSTOS, A INFLAÇÃO ALTA DESSE JEITO. Deve ter curral melhor que este hospital.",horrivel hospital conseguiu pior ibirite achei impossivel parece hospital guerra paredes chao desgastados poucas cadeiras desconfortaveis ambiente pequeno mal estruturado mal equipamentos pra atender outro cliente tirar outro cadeira rodasmacas pra onde indo impostos inflacao alta desse jeito deve curral melhor hospital
UPA Barreiro,2025-08-03,1.0,"Horrível, esse hospital conseguiu ser pior que o de Ibirité, achei que fosse impossível. Parece hospital de guerra; paredes e chão desgastados, poucas cadeiras e desconfortáveis, ambiente pequeno e mal estruturado, mal tem equipamentos, pra atender outro cliente tem que tirar outro da cadeira de rodas/macas. PRA ONDE ESTÁ INDO OS IMPOSTOS, A INFLAÇÃO ALTA DESSE JEITO. Deve ter curral melhor que este hospital.",horrivel hospital conseguiu pior ibirite achei impossivel parece hospital guerra paredes chao desgastados poucas cadeiras desconfortaveis ambiente pequeno mal estruturado mal equipamentos pra atender outro cliente tirar outro cadeira rodasmacas pra onde indo impostos inflacao alta desse jeito deve curral melhor hospital
UPA Barreiro,2025-09-02,5.0,"Fui atendida no dia 04/08, segunda-feira, entre 06:00 e 07:00.
A estrutura é bem precária para atendimento de todas as demandas da Unidade, entretanto, a equipe que estava no plantão me atendeu super bem!! 👏🏽👏🏽👏🏽 …",atendida dia segundafeira estrutura bem precaria atendimento todas demandas unidade entretanto equipe plantao atendeu super bem
UPA Barreiro,2025-09-02,5.0,"Fui atendida no dia 04/08, segunda-feira, entre 06:00 e 07:00.
A estrutura é bem precária para atendimento de todas as demandas da Unidade, entretanto, a equipe que estava no plantão me atendeu super bem!! 👏🏽👏🏽👏🏽 …",atendida dia segundafeira estrutura bem precaria atendimento todas demandas unidade entretanto equipe plantao atendeu super bem
UPA Barreiro,2025-11-01,1.0,"O atendimento é extremamente demorado, cerca de 4h pra ser atendido, dá próxima vez prefiro ficar em casa passando mal ao invés de passar 4h esperando em uma cadeira.",atendimento extremamente demorado cerca pra atendido proxima vez prefiro ficar casa passando mal inves passar esperando cadeira
UPA Barreiro,2025-11-01,1.0,"O atendimento é extremamente demorado, cerca de 4h pra ser atendido, dá próxima vez prefiro ficar em casa passando mal ao invés de passar 4h esperando em uma cadeira.",atendimento extremamente demorado cerca pra atendido proxima vez prefiro ficar casa passando mal inves passar esperando cadeira
UPA Barreiro,2025-06-04,1.0,"A enfermeira quase matou minha mãe em 2014, por conta de deixar o soro com Buscopan correndo , fui comprar comida e qdo voltei ela estava gelada, foi uma pena n ter gravado tudo o que aconteceu, hj me arrependo amargamente, pois entra ano e sai no e só piora, até médico q marca ponto e n aparece temos, os únicos q cumprem o tempo são pediatras ! Nojo de alguns médicos q tbm nem olham na nossa cara . Sinceramente, o quanto antes sair desse país é melhor para todos (agradecimentos aos anjos das igrejas e aos poucos q trabalham direito)",enfermeira quase matou mae conta deixar soro buscopan correndo comprar comida qdo voltei gelada pena gravado tudo aconteceu arrependo amargamente pois entra ano sai piora ate medico marca ponto aparece unicos cumprem tempo sao pediatras nojo alguns medicos tbm olham cara sinceramente quanto antes sair desse pais melhor todos agradecimentos anjos igrejas poucos trabalham direito
UPA Barreiro,2025-06-04,1.0,"A enfermeira quase matou minha mãe em 2014, por conta de deixar o soro com Buscopan correndo , fui comprar comida e qdo voltei ela estava gelada, foi uma pena n ter gravado tudo o que aconteceu, hj me arrependo amargamente, pois entra ano e sai no e só piora, até médico q marca ponto e n aparece temos, os únicos q cumprem o tempo são pediatras ! Nojo de alguns médicos q tbm nem olham na nossa cara . Sinceramente, o quanto antes sair desse país é melhor para todos (agradecimentos aos anjos das igrejas e aos poucos q trabalham direito)",enfermeira quase matou mae conta deixar soro buscopan correndo comprar comida qdo voltei gelada pena gravado tudo aconteceu arrependo amargamente pois entra ano sai piora ate medico marca ponto aparece unicos cumprem tempo sao pediatras nojo alguns medicos tbm olham cara sinceramente quanto antes sair desse pais melhor todos agradecimentos anjos igrejas poucos trabalham direito
UPA Barreiro,2025-07-04,1.0,"Fiquei aí 1 dia ""internada""fui mal atendida por uma enfermeira que pra mim foi mal educada ,suspeita de tromboflebite,passei o dia e a noite inteira sentada em uma cadeira ""de descanso"" que no caso descaso mesmo,com o pé totalmente pra baixo chorando de dor e não fizeram nada além de me de vários remédios que não adiantaram de nada ,upa barreiro total descaso com os pacientes,no outro dia fui transferida para o hospital evangélico,.nessa upa não volto mais ,prefiro o Julia",fiquei dia internadafui mal atendida enfermeira pra mim mal educada suspeita tromboflebitepassei dia noite inteira sentada cadeira descanso caso descaso mesmocom totalmente pra baixo chorando dor nao fizeram nada alem varios remedios nao adiantaram nada upa barreiro total descaso pacientesno outro dia transferida hospital evangeliconessa upa nao volto prefiro julia
UPA Barreiro,2025-07-04,1.0,"Fiquei aí 1 dia ""internada""fui mal atendida por uma enfermeira que pra mim foi mal educada ,suspeita de tromboflebite,passei o dia e a noite inteira sentada em uma cadeira ""de descanso"" que no caso descaso mesmo,com o pé totalmente pra baixo chorando de dor e não fizeram nada além de me de vários remédios que não adiantaram de nada ,upa barreiro total descaso com os pacientes,no outro dia fui transferida para o hospital evangélico,.nessa upa não volto mais ,prefiro o Julia",fiquei dia internadafui mal atendida enfermeira pra mim mal educada suspeita tromboflebitepassei dia noite inteira sentada cadeira descanso caso descaso mesmocom totalmente pra baixo chorando dor nao fizeram nada alem varios remedios nao adiantaram nada upa barreiro total descaso pacientesno outro dia transferida hospital evangeliconessa upa nao volto prefiro julia
UPA Barreiro,2025-08-03,1.0,"Atendimento zero ! Gestão horrível não vale a pena vir nesse lugar
Cheguei 04:30 da manhã saí 09:30h
Passaram um tanto de gente na minha frente falta de respeito total !!! Não venha passar raiva nesse lugar",atendimento zero gestao horrivel nao vale pena vir nesse lugar cheguei manha sai passaram tanto gente frente falta respeito total nao venha passar raiva nesse lugar
UPA Barreiro,2025-08-03,1.0,"Atendimento zero ! Gestão horrível não vale a pena vir nesse lugar
Cheguei 04:30 da manhã saí 09:30h
Passaram um tanto de gente na minha frente falta de respeito total !!! Não venha passar raiva nesse lugar",atendimento zero gestao horrivel nao vale pena vir nesse lugar cheguei manha sai passaram tanto gente frente falta respeito total nao venha passar raiva nesse lugar
UPA Barreiro,2025-11-01,1.0,"Preciso de entra em contato pois minha mae teve um acidente, preciso saber onde esta, e desde sempre o telefone nunca funciona",preciso entra contato pois mae acidente preciso saber onde desde sempre telefone nunca funciona
UPA Barreiro,2025-11-01,1.0,"Preciso de entra em contato pois minha mae teve um acidente, preciso saber onde esta, e desde sempre o telefone nunca funciona",preciso entra contato pois mae acidente preciso saber onde desde sempre telefone nunca funciona
UPA Barreiro,2025-02-04,1.0,"É desumano o atendimento dessa upa, há quase 1 ano meu esposo vem sofrendo de fortes dores na região do abdômen, junto com várias outras coisas e quando chega na upa é sempre a mesma médica que atende ele, Dr Laís.
Não toca nele, não pede exames e passa somente remédio pra dor.
Péssima médica.
Agora estamos em casa novamente e correndo risco de ser uma apêndice",desumano atendimento dessa upa quase ano esposo vem sofrendo fortes dores regiao abdomen junto varias outras coisas chega upa sempre mesma medica atende lais nao toca nele nao pede exames passa somente remedio pra dor pessima medica agora casa novamente correndo risco apendice
UPA Barreiro,2025-02-04,1.0,"É desumano o atendimento dessa upa, há quase 1 ano meu esposo vem sofrendo de fortes dores na região do abdômen, junto com várias outras coisas e quando chega na upa é sempre a mesma médica que atende ele, Dr Laís.
Não toca nele, não pede exames e passa somente remédio pra dor.
Péssima médica.
Agora estamos em casa novamente e correndo risco de ser uma apêndice",desumano atendimento dessa upa quase ano esposo vem sofrendo fortes dores regiao abdomen junto varias outras coisas chega upa sempre mesma medica atende lais nao toca nele nao pede exames passa somente remedio pra dor pessima medica agora casa novamente correndo risco apendice
UPA Barreiro,2025-05-05,4.0,"Quero deixar um elogio ao Dr. Bruno Henrique Lima Santos pelo profissionalismo, pelo carinho com os pacientes. Ele é um amor. E também a enfermeira Isabel, muito atenciosa e carinhosa com todos. Vocês fazem esse lugar parecer melhor ❤️",quero deixar elogio bruno henrique lima santos profissionalismo carinho pacientes amor tambem enfermeira isabel atenciosa carinhosa todos voces fazem lugar parecer melhor
UPA Barreiro,2025-05-05,4.0,"Quero deixar um elogio ao Dr. Bruno Henrique Lima Santos pelo profissionalismo, pelo carinho com os pacientes. Ele é um amor. E também a enfermeira Isabel, muito atenciosa e carinhosa com todos. Vocês fazem esse lugar parecer melhor ❤️",quero deixar elogio bruno henrique lima santos profissionalismo carinho pacientes amor tambem enfermeira isabel atenciosa carinhosa todos voces fazem lugar parecer melhor
UPA Barreiro,2025-05-05,1.0,"Meu relato não é da upa de barreiro, e sim da upa centro sul, especificamente de uma funcionária que (se não me engano) se chama Fernanda Faria. Cabelo verde, magra e Branca, que por alto escutei ela falar que trabalhava na unidade de barreiro também. Ríspida, grosseira, não parece ter um pingo de humanidade.",relato nao upa barreiro sim upa centro sul especificamente funcionaria nao engano chama fernanda faria cabelo verde magra branca alto escutei falar trabalhava unidade barreiro tambem rispida grosseira nao parece pingo humanidade
UPA Barreiro,2025-05-05,1.0,"Meu relato não é da upa de barreiro, e sim da upa centro sul, especificamente de uma funcionária que (se não me engano) se chama Fernanda Faria. Cabelo verde, magra e Branca, que por alto escutei ela falar que trabalhava na unidade de barreiro também. Ríspida, grosseira, não parece ter um pingo de humanidade.",relato nao upa barreiro sim upa centro sul especificamente funcionaria nao engano chama fernanda faria cabelo verde magra branca alto escutei falar trabalhava unidade barreiro tambem rispida grosseira nao parece pingo humanidade
UPA Barreiro,2024-12-01,1.0,"Minha mãe deu entrada na upa diamante as 14 do dia 4 de dezembro ela está sentada em uma cadeira de rodas a 5 horas ,um calor infernal  e os funcionários ficam de papinho todo o horário de expediente, isso é um absurdo e um descaso com o ser humano.fora a super lotacao",mae deu entrada upa diamante dia dezembro sentada cadeira rodas horas calor infernal funcionarios ficam papinho todo horario expediente absurdo descaso humanofora super lotacao
UPA Barreiro,2024-12-01,1.0,"Minha mãe deu entrada na upa diamante as 14 do dia 4 de dezembro ela está sentada em uma cadeira de rodas a 5 horas ,um calor infernal  e os funcionários ficam de papinho todo o horário de expediente, isso é um absurdo e um descaso com o ser humano.fora a super lotacao",mae deu entrada upa diamante dia dezembro sentada cadeira rodas horas calor infernal funcionarios ficam papinho todo horario expediente absurdo descaso humanofora super lotacao
UPA Barreiro,2024-12-01,1.0,"A UPA Barreiro está uma vergonha. Falta estrutura, falta profissionais, falta humanização para com os pacientes. Super lotada, sem cadeiras e macas para os pacientes, total desconforto para o acompanhante, totalmente insalubre, banheiros com defeito. Tem mtos profissionais bons, mas falta um pouco mais de técnica para outros. Para se trabalhar em pronto atendimento, tem que ter capacidade técnica, proatividade e isso falta mto em alguns profissionais. Entendo que o número de pacientes seja grande, que a rotatividade tbem seja enorme, mas um procedimento errado, a falta de avaliação de uma pessoa, pode gerar mtos custos a saúde de quem está ali a necessitando de atendimento. Outro ponto que deveria ser olhado com mais carinho, é a situação do idoso que precisa de atendimento. O cuidado e as necessidades são diferentes e deveria ter mais respeito e dignidade no atendimento. Tive que ir com minha mãe idosa a UPA, para conseguir uma maca foi uma dificuldade, depois aquela confusão e ter que pedir o tempo todo para tentar priorizar o atendimento de uma senhora de 92 com dor por ter fraturado o fêmur. Tudo vc tem que pedir, e pedir, e pedir. Depois de já resolvido, no outro dia a demora em conseguir um médico disponível da clínica médica para reavaliar, pq se trata de uma paciente idosa hipertensa e diabética e que não estava urinando. Depois de prescrito uma sonda de demora, a mesma foi passada de forma incorreta por uma profissional. Após ser transferida para outro hospital para ser submetida a uma cirurgia, foi constatado a sondagem errada e que isso acarretou uma infecção urinária o que inviabiliza a cirurgia que seria amanhã. Acho que deveria ter um suporte maior aos pacientes que já estão internados, uma coordenação melhor sobre esse fluxo. O profissional que não se acha capaz em realizar um determinado procedimento, peça ajuda a alguém mais experiente antes de fazer errado e gerar um problema. Errar é humano, mas errar na área da saúde, vc pode levar uma pessoa a óbito. Ter humildade e pedir ajuda, não é feio para ninguém. Espero de coração que uma dia alguém olhe com carinho para a UPA Barreiro e faça algo para melhorar as condições do usuário que precisa e o funcionário que escolheu estar ali exercendo sua profissão.",upa barreiro vergonha falta estrutura falta profissionais falta humanizacao pacientes super lotada cadeiras macas pacientes total desconforto acompanhante totalmente insalubre banheiros defeito mtos profissionais bons falta pouco tecnica outros trabalhar pronto atendimento capacidade tecnica proatividade falta mto alguns profissionais entendo numero pacientes grande rotatividade tbem enorme procedimento errado falta avaliacao pessoa pode gerar mtos custos saude ali necessitando atendimento outro ponto deveria olhado carinho situacao idoso precisa atendimento cuidado necessidades sao diferentes deveria respeito dignidade atendimento mae idosa upa conseguir maca dificuldade confusao pedir tempo todo tentar priorizar atendimento senhora dor fraturado femur tudo pedir pedir pedir resolvido outro dia demora conseguir medico disponivel clinica medica reavaliar trata paciente idosa hipertensa diabetica nao urinando prescrito sonda demora mesma passada forma incorreta profissional apos transferida outro hospital submetida cirurgia constatado sondagem errada acarretou infeccao urinaria inviabiliza cirurgia amanha acho deveria suporte maior pacientes estao internados coordenacao melhor sobre fluxo profissional nao acha capaz realizar determinado procedimento peca ajuda alguem experiente antes fazer errado gerar problema errar humano errar area saude pode levar pessoa obito humildade pedir ajuda nao feio ninguem espero coracao dia alguem olhe carinho upa barreiro faca algo melhorar condicoes usuario precisa funcionario escolheu estar ali exercendo profissao
